Category,Question,Round
Geography,On which of New Zealand's major islands is the City of Auckland located? Ans: North Island,1
Theatre and Cinema,Russell Brand,1
Information Technology,Which Programming language is named after C's increment operator? Ans: C++,1
History,Booker T. Washington founded which Institute in 1881? Ans: Tuskegee Institute,1
Mathematics,67.5 is what percent of 750? Ans: 9%,1
Physics,Who is largely credited for enunciating the Uncertainty Principle? Ans: Werner Heisenberg,1
Sports,Wladimir Klitschko (Ukrainian heavyweight boxer),1
Jamaican Heritage,The Natives from the Old Harbour Village were referred to as the most intelligent and civilized of all aboriginees in the Caribbean by which famous explorer? Ans: Christopher Columbus,1
French,"If I ask for: les directions de la ville, what am I asking for? Ans: Directions of the city",1
Literature,"Who wrote the novel ""The sound and the fury""? Ans: William Faulkner",1
Art,What three letter word means a shade of a colour? Ans: Hue,1
Bible Knowledge,"Abraham, Sarah, Isaac and Rebecca were all buried in which cave? Ans: Cave of Machpelah",1
Biology,Corpus luteum is the name of the body formed in the cavity of a graafian follicle in which organ of a mammal? Ans: The Ovary,1
Bible Knowledge,What leader said he was slow of speech and of a slow tongue? Ans: Moses,1
Biology,Glaucoma is a condition when fluid pressure inside the eyes slowly rises damaging which nerve? Ans: Optic nerve,1
English Language,Give an eight letter verb starting with 'a' that means to counsel. Ans: Admonish,1
Local and International Affairs,Who is the PM of Egypt? Ans: Mostafa Madbouly,1
Chemistry,What is the name for the penetration of molecules into the bulk of a solid or liquid forming either a solution or compound? Ans: Adsorption,1
Music,Love song,1
General Knowledge,Montgomery is the capital of which US state? Ans: Alabama,1
Spanish,What article is el reloj? Ans: the watch,1
Geography,Coral Polyp skeletons of tiny marine organisms come together to make up what type of rock? Ans: Limestone,1
Theatre and Cinema,Doris Roberts,1
Information Technology,Which two keys can be used to bold characters? Ans: Ctrl and B,1
History,Which Regional games did San Salvador host in 1935 and 2002? Ans: Central American and Commonwealth Games,1
Mathematics,Expand fully: (x+1)(x-a). Ans: x2-ax+x-a,1
Physics,What is the name for the acceleration imparted to bodies by the attractive force of the earth or any other heavenly body? Ans: Acceleration due to gravity,1
Sports,M.S. Dhoni,1
Jamaican Heritage,The Government of Jamaica was formed in 1981 by which political party? Ans: Jamaica Labour Party,1
French,Give the English equivalent of: Je aime manger des bananes. Ans: I love to eat bananas,1
Literature,"Who wrote the novel ""The History of the Life of Jonathan Wild the Great""? Ans: Henry Fielding",1
Art,The Wild Beast is the English translation for which art form? Ans: Fauvism,1
Bible Knowledge,In which Mountains respectively did Moses and Aaron die? Ans: Mount Hor and Mount Nebo,1
Bible Knowledge,In what City was Paul let down through an opening in a wall in a basket? Ans: Damascus,1
Biology,"What is the name given to the study of organic particles such as bacteria, fungal spores, very small insects, pollen grains and viruses which are passively transported by the air? Ans: Aerobiology",1
English Language,Give the name of a noun that is used as an adjective. Ans: Attributive noun,1
Local and International Affairs,Who is the PM of France? Ans: SÃ©bastien Lecornu,1
Chemistry,Olefins is the former name for which group of organic compounds? Ans: Alkenes,1
Music,Wallay,1
General Knowledge,Who is the Prime Minister of the Democratic Republic of the Congo? Ans: Augustin Matata Ponyo,1
Spanish,What is the English translation for: rojo es mi color favorito? Ans: Red is my favourite colour,1
Geography,What name is given to a man-made waterway used for transportation and irrigation? Ans: Canal,1
Theatre and Cinema,Josh Radnor,1
Information Technology,What is the name for the process of creating an executable programme from code written in a programming language? Ans: Compile,1
History,In what year was Rhodesia renamed Zimbabwe? Ans: 1979,1
Mathematics,"A rectangle has a perimeter of 48cm. If the length of the rectangle is 8cm, what is its area? Ans: 128cm2",1
Physics,What name is given to electric current that changes its direction periodically? Ans: Alternating current,1
Sports,Dale Earnhardt Jr. (US Nascar driver),1
Jamaican Heritage,Name the only All girls high school in the parish of Trelawny. Ans: Westwood High School,1
French,Give the English equivalent of: L'homme possï¿½de le chien. Ans: The man owns the dog,1
Literature,From which best-selling book series is the Television series Game of Thrones adapted? Ans: A song of Ice and Fire,1
Art,In which parish was Jamaican artist Albert Huie born? Ans: Trelawny,1
Bible Knowledge,"Who said ""Speak Lord, thy servant hears""? Ans: Samuel",1
Biology,What specific name do Jamaicans give to the insect with scientific name Blaborus Gigantius? Ans: Drummer roach,1
English Language,"Give a seven letter word beginning with 'o' which means the best or most favourable point, degree or amount. Ans: Optimum",1
Bible Knowledge,Eliab was the older Sibling of which King of Israel? Ans: David,1
Biology,Interstitial cystisis is a condition which affects which organ of the body? Ans: the bladder,1
English Language,"Give a seven letter word starting with 'v' which means fanatical, furious or rabid. Ans: Violent",1
Local and International Affairs,Who is the President of Germany? Ans: Frank-Walter Steinmeier,1
Chemistry,S2O32- is the formula for which specific ion? Ans: Thiosulfate ion,1
Music,Just hold on we're going home,1
General Knowledge,The Aircraft manufacturer Boeing has its headquarters in which country? Ans: USA,1
Spanish,"On a building, what is el primer piso? Ans: the First floor",1
Geography,Which Central American capital is commonly referred to as Tegus? Ans: Tegucigalpa,1
Theatre and Cinema,Jason Seagal,1
Information Technology,What is the name given to the method of computer programming where the writer uses absolute instead of indirect addressing? Ans: Absolute coding,1
History,Vere Bird Senior was the first Prime Minister of which Caribbean Country? Ans: Antigua and Barbuda,1
Mathematics,"A race car travels 5km in 4 minutes, how many kilometers will it travel in an hour if it maintains the same speed? Ans: 75km",1
Physics,What is the general scientific term for the emission of light at low temperatures? Ans: Luminiscence,1
Sports,Larry Gomes (Former WI cricketer),1
Jamaican Heritage,Complete the proverb: mi cum ya fi drink milkï¿½Ans: mi nuh cum ya fi count cow,1
French,What does the expression: Dieu vous bï¿½nisse mean? Ans: God bless you,1
Literature,What was the birthname of author George Orwell? Ans: Eric Blair,1
Art,"Which painting depicts a bombing by 28 Germans on April 26, 1937 in Spain? Ans: Guernica",1
Bible Knowledge,Which High Priest was killed when he fell off a seat and broke his neck? Ans: Eli,1
Bible Knowledge,"In the New Testament, who baptized the Ethiopian Eunuch? Ans: Phillip",1
Biology,Sapprophytes are organisms that feed on what type of substance? Ans: Dead and decaying substances,1
English Language,Give a six letter adjecting starting with 'm' which means gruesome or gloomy. Ans: Morbid,1
Local and International Affairs,Who is the Chancellor of Germany? Ans: Friedrich Merz,1
Chemistry,Avogadro's constant is x times 10 to the 23 per mole. What is the value of x to two decimal places? Ans: 6.02,1
Music,Say something,1
General Knowledge,"Specifically, a tiglon is the cross between which two animals? Ans: Male tiger and Lioness",1
Spanish, What is the English translation for : me quedarï¿½? Ans: I will stay,1
Geography,The Intertropical convergence Zone is formed when two trade winds converge near the equator. What are these called? Ans: North East and South East Trade winds,1
Theatre and Cinema,Brad Garrett,1
Information Technology,What is the name for a group of related data values stored under the same name? Ans: Array,1
History,In what year did the Second Maroon war begin in Jamaica? Ans: 1795,1
Mathematics,"A length of rope is divided into three pieces in the ratio 2:5:7. The shortest piece is 14cm, how long is the rope? Ans: 98cm",1
Physics,What is the Nationality of the Physicist Archimedes? Ans: Greek,1
Sports,Phil Simmons (former WI Cricketer),1
Jamaican Heritage,Complete the Jamaican proverb: Patient manï¿½Ans: ride donkey,1
French,What article is la montre? Ans: the watch,1
Literature,Who is the author of the Sonnet number 43? Ans: Elizabeth Barrett Browning,1
Art,"The Jamaican painting ""Mother and Child"" showï¿½? Ans: Barrington Watson",1
Bible Knowledge,Which man in the bible is said to have translated becauseï¿½.? Ans: Enoch,1
Biology,What is the name given to the plant hormone with the formula C15H20O4? Ans: Abscissic acid,1
English Language,Spell IDEALLY,1
Bible Knowledge,Who in the bible was known as a Cunning hunter and a man of the field? Ans: Nimrod,1
Biology,"Carpel Tunnel Syndrone is a condition which causes numbness, tingling or burning sensations in which parts of the body? Ans: Hands",1
English Language,Spell BENIGN,1
Local and International Affairs,Who is the PM of Greece? Ans: Kyriakos Mitsotakis,1
Chemistry,(+4) represents what state of sulphur in the sulfite ion? Ans: Oxidation state,1
Music,Tamar Braxton (Love and war),1
General Knowledge,"How many children did Diana, Princess of Wales have? Ans: 2",1
Spanish,What is the English phrase for the Spanish: para sentarse en la valla? Ans: to sit on the fence,1
Geography,Which of these Cities is located more westerly with respect to the Prime Meridian: Montreal or Monte Video? Ans: Montreal,1
Theatre and Cinema,Kelsey Grammer,1
Information Technology,What is the code name of the most recently released version of the Android operating system version 5? Ans: Lollipop,1
History,"On what exact date did Israel declare its own Independence? Ans: May 14, 1948",1
Mathematics,"In the number 0.05278, which digit is the third significant figure? Ans: 7",1
Physics,What did the Physicist D.A. Glasier invent in 1952? Ans: Bubble Chamber,1
Sports,Desmond Haynes (former WI cricketer),1
Jamaican Heritage,Mani was the name given to a peanut plant by which group of people? Ans: Tainos,1
French,Translate to English: ï¿½quel ï¿½ge avez-vous? Ans: How old are you? ,1
Literature,Mr. Charington is the proprietor of a second hand shop in Proll district in which George Orwell book? Ans: 1984,1
Bible Knowledge,Which minor prophet asked: Can two walk together except they agreed? Ans: Amos,1
Biology,"When alleles have an equal effect on the phenotype of an individual, what is this called? Ans: Codominance",1
English Language,A vixen is the female version of which animal? Ans: Fox,1
Bible Knowledge,Which ruler of the Jews did Jesus tell he must be born again? Ans: Nicodemus,1
Biology,Which disease results when a virus attacks the motor nerve cells in the spinal chord making it impossible for pulses to reach the muscles? Ans: Poliomyelitis (or infantile paralysis),1
English Language,Spell CHICANERY,1
Local and International Affairs,Who is the President of the Italian Senate? Ans: Ignazio La Russa,1
Chemistry,Which isotope of hydrogen has two neutrons and a proton in the nucleus? Ans: Tritium,1
Music,Bunji Garlin,1
General Knowledge,How many times did Lithuania declare its Independence from the Soviets? Ans: Twice,1
Spanish,What is the English equivalent for the phrase: cada vez? Ans: Every time or each time,1
Geography,"In which country does the River Atbara, a tributary of the Nile originate? Ans: Ethiopia",1
Theatre and Cinema,Julia Louis-Dreyfus,1
Information Technology,"In the measure of Screen resolution, what does DPI stand for? Ans: Dots per inch",1
History,In which year did Anguilla separate itself from the associated state of St. Kitts and Nevis? Ans: 1971,1
Mathematics,"A length of rope is divided into three pieces in the ratio 2:5:7. The smallest piece is 40cm, how long is the rope? Ans: 280cm",1
Physics,"If a man ran 270m in 30s, what is his average speed? Ans: 9m/s",1
Sports,Amar'e Stoudemire (NBA player),1
Jamaican Heritage,In which South Western parish is the town of Mocho Point located? Ans: St. Elizabeth,1
French,Translate the phrase ï¿½tre prï¿½t to English. Ans: Get ready (or stand by),1
Literature,"Who is the author of the novel ""The Age of Innocence""? Ans: Edith Wharton",1
Art,"Which Gallery houses the work ""Star Boy"" done by local artist  Kay Sullivan? Ans: National Gallery",1
Bible Knowledge,"In the biblical parable of the Wheat and the Tares, what does the field represent? Ans: The world",1
Biology,The quadriceps or quad muscle forms a large fleshy mass which covers the front and sides of which bone in humans? Ans: Femur,1
English Language,Spell PICTURESQUE,1
Bible Knowledge,Who was King Josiah's grandfather? Ans: Manasseh,1
Biology,Approximately 75% of the liver's blood supply is provided by which vein in the human body? Ans: Hepatic portal vein,1
English Language,Spell the word COGITATION which means a meditation or contemplation,1
Local and International Affairs,Who is the CEO of Sagicor Group Jamaica? Ans: Christopher Zacca,1
Chemistry,C6H5COOH is the chemical formula for which acid? Ans: Benzoic acid,1
Music,I want you back (Jackson five),1
General Knowledge,Which Scientist was awarded the 1921 Nobel Prize in Physics for his work on Theoretical Physics? Ans: Albert Einstein,1
Spanish,Give the name of the continent Europe in Spanish. Ans: Europa,1
Geography,Stanley is the capital for which group of islands? Ans: Falkland islands,1
Theatre and Cinema,Jerry Stiller,1
Information Technology,What is the name given to an issue with a program caused by a mistake in the programming? Ans: A Glitch,1
History,Eric Williams made a notable statement in reference to Jamaica's withdrawal from the West Indies Federation. What was the statement? Ans: One from Ten leaves Zero,1
Mathematics,What is the value of n in the equation 4/6 = n/30? Ans: 20,1
Physics,What unit is equal to 1/12th the mass of the C-12 isotope of Carbon? Ans: 1 atomic mass unit,1
Sports,Li Na,1
Jamaican Heritage,William Knibb founded the Kettering Free Village in which parish? Ans: Trelawny,1
French,What is the English translation for: merci pour tout? Ans: Thank you for everything,1
Literature,"Which Caribbean author wrote the 1976 novel ""Blue foot traveller""? Ans: James Berry",1
Art,Pablo Picasso and Georges Braques were the co-founders of which art movement? Ans: Cubism,1
Bible Knowledge,Nun was the name of whose father? Ans: Joshua,1
Biology,What is the other name for the parietal cells found only in a particular area of the stomach known as the fundus? Ans: Oxyntic cells or delomorphous cells,1
Bible Knowledge,What bible Patriarch told Pharaoh that his days had been few and evil? Ans: Jacob,1
Biology,What is the collective name for the last three cheek teeth in humans? Ans: Molars,1
English Language,Give a five letter word beginning with 'r' which is similar in meaning to inflexible or fixed. Ans: Rigid,1
Local and International Affairs,Who is the PM of Japan? Ans: Sanae Takaichi,1
Chemistry,What is done to hydrated cobalt chloride that causes a colour change from pink to blue? Ans: It is heated,1
Music,The wanted (Glad you came),1
General Knowledge,Which animal is said to replace the Cheetah as the fastest land animal in the world? Ans: Mite,1
Spanish,Translate to English: Me casï¿½ con mi mejor amigo. Ans: I married my best friend,1
Geography,An atoll is the name given to a circular coral reef which encloses what type of water body? Ans: Lagoon,1
Theatre and Cinema,Giovanni Ribisi,1
Information Technology,"A numeric value, for example 1, and 1234 are examples of what data type? Ans: Integer",1
History,The 1665 to 1667 Anglo-Dutch war ended in which country's favour? Ans: Holland,1
Mathematics,What two consecutive prime numbers when added together gives a total of 112? Ans: 53 and 59,1
Physics,"How many pascals are in 1 Bar? Ans: 100,000",1
Sports,Trevor Berbick (former boxer),1
Jamaican Heritage,In which Jamaican parish is the Orange Bay Railway Station? Ans: Portland,1
French,ï¿½Savez-vous ce qui est bon ï¿½ manger ici? What am I asking? Do you know what is good to eat here? ,1
Literature,Jï¿½zef Teodor Konrad Korzeniowski was the full birthname of which author? Ans: Joseph Conrad,1
Art,Give the English and Spanish titles of the famous half length Portrait known as La Joconde. Ans: The Mona Lisa and La Gioconda,1
Bible Knowledge,Which leader in the early church was known as the son of Consolation? Ans: Barnabas,1
Biology,"When the liver is observed from the underside, it is seen to be made up of how many lobes? Ans: Four",1
English Language,Give the British Spelling for the word MEDALLIST,1
Local and International Affairs,Who is the PM of Norway? Ans:Â Jonas Gahr StÃ¸re,1
Chemistry,What name is given to a pocket or a Crevace on an enzyme molecule that fitsï¿½? Ans: Active site,1
Music,Samantha J,1
General Knowledge,The fear of which creature is known as arachnaphobia? Ans: Spider,1
Spanish,What is the English equivalent proverb for: mï¿½s vale pï¿½jaro en mano que ciento volando? Ans: A bird in the hand is worth two in the bush,1
Geography,What is the name of the largest and most important Valley in the Dominican Republic? Ans: Siabo Valley,1
Theatre and Cinema,Jim Carey,1
Information Technology,EMR enterprise report management systems are used by computers in large organizations. These systems were first called COLD. What does the acronym COLD stand for? Ans: Computer Output to Laser Disc,1
History,How many times was Sir Winston Churchhill elected as Prime Minister of Great Britain? Ans: Twice,1
Mathematics,"If a=4, b=-2 and c=9, what is the value of 2a-b+3c? Ans: 37",1
Physics,A car travels a distance of 75km in an hour and 25km in the subsequent half an hour. What is the average speed for the entire trip in km/h? Ans: 66.67km/h,1
Sports,Mike McCallum (former boxer),1
Jamaican Heritage,Which member of the British Royal family visited Jamaiaca on Independence day? Ans: Princess Margaritte,1
Literature,"Which British author wrote the novel ""The trees of Pride""? Ans: G.K. Chesterton",1
Art,What colour is obtained from mixing red and yellow? Ans: Orange,1
Bible Knowledge,On what Mountain did Elijah test the Prophets of Baal? Ans: Mt. Carmel,1
Biology,What is the name of a thin tissue layer which covers the lungs in humans? Ans: Plural Membrane,1
English Language,Which eight letter adjective starting with 'f' means chaotic andï¿½? Ans: Frenetic,1
Bible Knowledge,To whom is the book of Acts addressed? Ans: Theophilus,1
Biology,How many pairs of chromosomes are there in the cells of an adult dog? Ans: 39,1
English Language,Spell the word TSUNAMI,1
Local and International Affairs,Who is the President of Nicaragua? Ans: Daniel Ortega (alongside wife Rosario Murillo),1
Chemistry,What is the formula for the sulfide ion? Ans: S2-,1
Music,Machel Montano,1
General Knowledge,"What is the collective name for the group of large animals which includes elephants, Rhinoceroses and Hippopotamuses? Ans: Pachyderms",1
Spanish,Who is un amigo verdadero? Ans: a true friend,1
Geography,"In our Solar system, which is the largest of the four planets closest to the sun? Ans: Earth",1
Theatre and Cinema,Drew Carey,1
Information Technology,"This software company is named for Apollo's Priestesses. It is headquartered in California, it is the second largest software company in the world. What is it called? Ans: Oracle",1
History,In what year was Fidel Castro born? Ans: 1926,1
Mathematics,What is the solution for x if x2+2x-63=0? Ans: -9 and 7,1
Physics,What unit is equivalent to Joules per Coulomb? Ans: Volt,1
Sports,Clive Lloyd (former WI cricketer),1
Jamaican Heritage,Complete the Jamaican proveb: Everi hoe av imï¿½Ans: tik a bush,1
French,What is une voiture noire? Ans: a black car,1
Literature,"Who was the author of the Historical American Civil War book ""The Red Badge of Courage""? Ans: Stephen Crane",1
Art,What colour is obtained from mixing red and blue in equal portions? Ans: Purple,1
Bible Knowledge,Which of the sons of Jacob was known as the Ravenous Wolf? Ans: Benjamin,1
Biology,"There are three bones in the ankle joint, two of them are the thallus and the tibia, what's the other? Ans: Fibula",1
Bible Knowledge,"In the bible, Jesus was said to be a High Priest after the order of which person? Ans: Melchizedek",1
Biology,How many molecules of Carbon dioxide are in the empirical photosynthesis equation? Ans: 6,1
English Language,"What part of speech is the word 'skipped' in this sentence: Eric was so happy he had passed his CXC exams, he skipped about? Ans: Verb",1
Local and International Affairs,Who is the President of Nigeria? Ans: Bola Tinubu,1
Chemistry,"What is the atomic number and symbol for Mercury? Ans: 80, Hg",1
Music,ABC (Jackson five),1
General Knowledge,The second longest coral reef in the world is located along the coast of which Caribbean Country? Ans: Belize,1
Spanish,What is the equivalent English proverb for this Spanish: No es oro todo lo que reluce? Ans: All that glitters is not gold,1
Geography,What instrument measures an earthquake's magnitude? Ans: Seismograph,1
Theatre and Cinema,Wayne Brady,1
Information Technology,"Many Aircraft Pilots today are trained in flight simulators which mimic the experience of flying a real airliner. These are examples of computer generated environments collectively known as VR, What does VR stand for? Ans: Virtual Reality",1
History,"What were the three main nations that made up the Axis that fought against the Allied forces during WWII? Ans: Germany, Italy, Japan",1
Mathematics,"A car travels 60km on 5 litres of petrol. At the same rate, how far does it travel on 28 litres of petrol? Ans: 336km",1
Physics,"Which has more momentum, a one ton car moving at 100km/h or a 2 ton truck moving at 50km/h? Ans: None (momentum is the same for both)",1
Sports,Richie Richardson (former WI cricketer),1
